example,label,explanation
I have withdrawn cash from ATM but i received the wrong amount. I want cash back as in app its showing actual amount which i got. Please help me in this.,wrong_amount_of_cash_received,"The output is correct because the customer's complaint is about withdrawing cash from an ATM and receiving the wrong amount. This falls under the category of ""wrong_amount_of_cash_received"" as the customer is reporting that the amount they received does not match the amount shown in the app. So, the answer is wrong_amount_of_cash_received."
How man currencies can I hold?,fiat_currency_support,"The input question is asking about the number of currencies that can be held in a bank account. This falls under the category of ""fiat_currency_support"" because it pertains to the bank's support for holding multiple currencies. The question is not related to any specific issue or problem, but rather a general inquiry about the bank's capabilities. So, the answer is ""fiat_currency_support""."
Can I unblock my pin?,pin_blocked,"The input query ""Can I unblock my pin?"" is asking about unblocking a pin. This falls under the category of ""pin_blocked"" because the customer is experiencing an issue with their pin being blocked. They are seeking assistance or information on how to unblock it. So, the answer is pin_blocked."
How do i get my salary in the account?,receiving_money,"The input query ""How do I get my salary in the account?"" is related to the process of receiving money. The customer is seeking information on how to receive their salary in their bank account. This falls under the category of ""receiving_money"" as it involves the transfer of funds into the customer's account. So, the answer is receiving_money."
Can my daughter open an account?,age_limit,"The output is correct because the input query ""Can my daughter open an account?"" is related to the age limit category. The customer is inquiring about the eligibility criteria for opening an account for their daughter, which indicates a concern about age restrictions. Therefore, the query falls under the age_limit category. So, the answer is age_limit."
Can I use app to freeze account and dispute fraud?,compromised_card,"The output is ""compromised_card"" because the customer's query is related to freezing their account and disputing fraud. This indicates that the customer suspects that their card or account has been compromised. The category ""compromised_card"" specifically addresses issues related to compromised cards or accounts, which aligns with the customer's query. So, the answer is compromised_card."
What ATMs will accept this type of card?,atm_support,"The input query is asking about the acceptance of a specific type of card at ATMs. This falls under the category of ""atm_support"" because it is related to the support and compatibility of the card with ATMs. The query is not about any other specific issue or category mentioned in the task description. Therefore, the correct category for this input is ""atm_support"". So, the answer is atm_support."
My disposable virtual card will not work,virtual_card_not_working,"The input example states that the disposable virtual card is not working. This falls under the category of ""virtual_card_not_working"" because it specifically mentions a virtual card and its functionality issue. The term ""disposable"" indicates that the card is meant for one-time use or limited duration, which further supports the classification as a virtual card. Therefore, the output ""virtual_card_not_working"" is correct for this input example. So, the answer is virtual_card_not_working."
What is going on? My top-up is still pending. I use your system all the time but now it is just showing as pending.,pending_top_up,"The output is correct because the customer's complaint is related to a pending top-up. The customer states that their top-up is still pending and they have used the system before without any issues. This indicates that the customer is experiencing a delay or issue with their top-up transaction, which falls under the category of ""pending_top_up"". So, the answer is pending_top_up."
I forgot my code to get into the app.,passcode_forgotten,"The input example ""I forgot my code to get into the app"" indicates that the customer has forgotten their passcode to access the bank's mobile application. This falls under the category of ""passcode_forgotten"" because it specifically relates to the issue of forgetting the passcode. The customer is seeking assistance in recovering or resetting their passcode so that they can regain access to the app. Therefore, the correct classification for this input example is ""passcode_forgotten"". So, the answer is passcode_forgotten."
I don't recognize a debit payment that was made and would like to find out about the payment.,direct_debit_payment_not_recognised,"The input example mentions that the user does not recognize a debit payment that was made and wants to find out about the payment. This indicates that the user is experiencing an issue with a direct debit payment. The category ""direct_debit_payment_not_recognised"" specifically addresses situations where a user is unable to recognize a direct debit payment. Therefore, based on the user's query, the correct category for this input example is ""direct_debit_payment_not_recognised"". So, the answer is direct_debit_payment_not_recognised."
I think my phone is either lost or stolen.,lost_or_stolen_phone,"The input example mentions that the person's phone is either lost or stolen. This indicates that the person is facing an issue related to their phone. In the given task, the category ""lost_or_stolen_phone"" specifically addresses complaints or queries related to lost or stolen phones. Therefore, based on the information provided in the input example, the correct category for this input is ""lost_or_stolen_phone"". So, the answer is lost_or_stolen_phone."
How long does a card delivery take?,card_arrival,"The input question is asking about the duration of a card delivery, which is related to the process of receiving a physical card. This falls under the category of ""card_arrival"" because it pertains to the timeline and status of the card being delivered to the customer. So, the answer is card_arrival."
My transaction to pay for an item was returned to my account.,reverted_card_payment?,"The output is ""reverted_card_payment?"" because the input example mentions that the transaction to pay for an item was returned to the customer's account. This indicates that the payment was initially made but then reversed or refunded back to the customer. This falls under the category of ""reverted_card_payment"" as it involves a payment that was reversed or cancelled. So, the answer is ""reverted_card_payment?""."
"I tried to take out cash but the amount isn't right, so what do I do?",wrong_amount_of_cash_received,"The output is correct because the customer's complaint is about receiving the wrong amount of cash when trying to withdraw money. This falls under the category of ""wrong_amount_of_cash_received"". So, the answer is wrong_amount_of_cash_received."
Can you help me reset my password?,passcode_forgotten,"The output is correct because the customer's query ""Can you help me reset my password?"" indicates that they have forgotten their passcode. This falls under the category of ""passcode_forgotten"" as mentioned in the task description. So, the answer is passcode_forgotten."
What currencies do you do exchanges for?,fiat_currency_support,"The output is correct because the input is asking about the currencies that the bank supports for exchanges. This falls under the category of ""fiat_currency_support"" as it pertains to the bank's support for different currencies in exchange transactions. So, the answer is fiat_currency_support."
How to change the PIN on my card?,change_pin,"The input example ""How to change the PIN on my card?"" is classified as ""change_pin"" because it specifically mentions the action of changing the PIN on a card. The task description includes a category for ""change_pin"" which refers to queries or complaints related to changing the personal identification number (PIN) associated with a bank card. In this case, the input example directly corresponds to this category as it is asking for instructions or assistance on how to change the PIN on a card. So, the answer is change_pin."
What is the need to verify my identity?,why_verify_identity,"The input question ""What is the need to verify my identity?"" is asking about the reason or purpose behind the requirement to verify one's identity. This falls under the category of ""why_verify_identity"" because it is seeking an explanation for the need to go through the process of verifying one's identity. The question is not related to any specific issue or problem with the bank's services or features, but rather focuses on the broader topic of identity verification. So, the answer is why_verify_identity."
Why can't I see my topup in my wallet anymore?,topping_up_by_card,"The output is correct because the customer's query is related to a top-up transaction using a card. The customer is specifically asking why they can't see the top-up in their wallet anymore, indicating that they used a card to add funds to their wallet. Therefore, the category ""topping_up_by_card"" is the most appropriate classification for this query. So, the answer is topping_up_by_card."
Please tell me which cash machines will allow me to change my pin.,change_pin,"The input query mentions the need to change the PIN at cash machines. This falls under the category of ""change_pin"" as it is a specific request related to changing the PIN associated with the customer's bank card. So, the answer is change_pin."
What all currencies can be exchanged?,exchange_via_app,"The output is correct because the input is asking about the ability to exchange currencies through the bank's app. This falls under the category of ""exchange_via_app"" as it pertains to the bank's app functionality for currency exchange. So, the answer is exchange_via_app."
Approximately how long will an urgent transfer from China take?,transfer_timing,"The output is correct because the input example is asking about the timing or duration of an urgent transfer from China. This falls under the category of ""transfer_timing"" as it pertains to the timing or duration of a transfer. So, the answer is transfer_timing."
How do I link to my credit card with you?,card_linking,"The input example ""How do I link to my credit card with you?"" is classified as ""card_linking"" because it contains keywords related to linking a credit card. The phrase ""link to my credit card"" indicates that the customer is seeking information or assistance on how to connect or associate their credit card with the bank's services. This falls under the category of ""card_linking"" as it pertains to the process of establishing a connection between the customer's credit card and the bank's system. So, the answer is card_linking."
I see some fees for cash withdraw.,cash_withdrawal_charge,"The input example mentions ""fees for cash withdraw."" This indicates that the customer is referring to charges or fees associated with cash withdrawals. This aligns with the category ""cash_withdrawal_charge,"" which specifically addresses charges related to cash withdrawals. Therefore, based on the customer's complaint about fees for cash withdrawals, the correct category for this input example is ""cash_withdrawal_charge."" So, the answer is cash_withdrawal_charge."
my card was not in the mail again can you advise?,card_delivery_estimate,"The output is correct because the customer's complaint is related to the delivery of their card. They mention that their card was not in the mail again, indicating that they were expecting to receive their card through mail but it did not arrive. This falls under the category of ""card_delivery_estimate"" as it pertains to the estimated delivery time or issues related to the delivery process of the card. So, the answer is card_delivery_estimate."
Unknown direct deposit,direct_debit_payment_not_recognised,"The input ""Unknown direct deposit"" falls under the category of ""direct_debit_payment_not_recognised"". This is because the term ""direct deposit"" refers to a payment method where funds are directly transferred from one bank account to another. In this case, the complaint or query is about an unrecognized direct deposit, indicating that the customer is questioning or disputing a payment that was made through this method. Therefore, the correct category for this input is ""direct_debit_payment_not_recognised"". So, the answer is direct_debit_payment_not_recognised."
"Hi. I'm a new customer to your system and I think something isn't working right - or maybe it is. Maybe you can confirm. I tried to top up today (my first time ever) and it's been stuck at ""pending"" for over an hour now. Is it supposed to do this or is there something wrong in the system?",pending_top_up,"The output is correct because the customer's complaint is related to a pending top-up. The customer mentions that they tried to top up for the first time and it has been stuck at ""pending"" for over an hour. This indicates that the customer is experiencing a delay or issue with their top-up transaction. So, the answer is pending_top_up."
"
Where can I get my PIN unblocked?",pin_blocked,"The output is correct because the customer's query is related to unblocking their PIN. This falls under the category of ""pin_blocked"" as the customer is seeking assistance with their blocked PIN. So, the answer is pin_blocked."
How can I withdraw money?,atm_support,"The output is correct because the customer's query is related to withdrawing money, which falls under the category of ""atm_support"". The customer is specifically asking about how to withdraw money, indicating that they are seeking assistance or information regarding ATM support. So, the answer is atm_support."
